date,time,price
2026-03-25,21:44:51,71055.86
2026-03-25,21:49:53,71025.81
2026-03-25,21:54:53,71004.83
2026-03-25,21:59:57,71003.38
2026-03-25,22:04:51,71060.20
2026-03-25,22:09:52,70998.81
2026-03-25,22:14:56,71003.14
2026-03-25,22:19:50,70960.22
2026-03-25,22:24:54,71004.49
2026-03-25,22:29:53,71019.91
2026-03-25,22:34:53,71136.75
2026-03-25,22:39:52,71237.51
2026-03-25,22:44:50,71327.18
2026-03-25,22:49:58,71405.05
2026-03-25,22:54:52,71317.09
2026-03-25,22:59:54,71343.12
2026-03-25,23:04:51,71386.57
2026-03-25,23:09:52,71359.78
2026-03-25,23:14:51,71324.66
2026-03-25,23:19:58,71253.38
2026-03-25,23:24:51,71323.30
2026-03-25,23:29:50,71359.68
2026-03-25,23:34:50,71312.50
2026-03-25,23:39:54,71273.10
2026-03-25,23:44:53,71194.10
2026-03-25,23:49:52,71218.15
2026-03-25,23:54:51,71292.46
2026-03-25,23:59:51,71309.26
2026-03-26,00:04:52,71287.87
2026-03-26,00:09:55,71251.84
2026-03-26,00:14:54,71180.80
2026-03-26,00:19:50,71308.47
2026-03-26,00:24:50,71265.61
2026-03-26,00:29:54,71234.10
2026-03-26,00:34:54,71301.81
2026-03-26,00:39:56,71337.18
2026-03-26,00:44:51,71300.32
2026-03-26,00:49:51,71379.12
2026-03-26,00:54:58,71222.83
2026-03-26,00:59:52,71235.42
2026-03-26,01:04:54,71278.64
2026-03-26,01:09:51,71197.85
2026-03-26,01:14:50,71248.20
2026-03-26,01:19:57,71184.98
2026-03-26,01:24:53,71251.47
2026-03-26,01:29:53,71271.25
2026-03-26,01:34:58,71279.32
2026-03-26,01:39:55,71273.47
2026-03-26,01:44:50,71229.63
2026-03-26,01:49:53,71227.65
2026-03-26,01:54:52,71233.67
2026-03-26,01:59:51,71245.80
2026-03-26,02:04:50,71229.65
2026-03-26,02:09:50,71121.16
2026-03-26,02:14:52,71068.70
2026-03-26,02:19:51,70928.01
2026-03-26,02:24:53,70899.14
2026-03-26,02:29:50,70896.90
2026-03-26,02:34:51,70739.98
2026-03-26,02:39:54,70760.19
2026-03-26,02:44:55,70818.43
2026-03-26,02:49:54,70855.68
2026-03-26,02:54:52,70839.65
2026-03-26,02:59:51,70866.96
2026-03-26,03:04:51,70800.01
2026-03-26,03:09:51,70787.03
2026-03-26,03:14:55,70892.08
2026-03-26,03:19:52,70899.49
2026-03-26,03:24:58,70728.79
2026-03-26,03:29:51,70691.55
2026-03-26,03:34:57,70748.07
2026-03-26,03:39:51,70831.42
2026-03-26,03:44:52,70856.12
2026-03-26,03:49:51,70822.73
2026-03-26,03:54:59,70820.82
2026-03-26,03:59:54,70865.83
2026-03-26,04:04:51,70821.22
2026-03-26,04:09:52,70812.88
2026-03-26,04:14:53,70722.89
2026-03-26,04:19:53,70696.12
2026-03-26,04:24:53,70780.87
2026-03-26,04:29:53,70825.77
2026-03-26,04:34:54,70805.40
2026-03-26,04:39:51,70825.23
2026-03-26,04:44:51,70824.38
2026-03-26,04:49:55,70837.94
2026-03-26,04:54:51,70791.62
2026-03-26,04:59:51,70754.14
2026-03-26,05:04:51,70720.08
2026-03-26,05:09:55,70555.53
2026-03-26,05:14:53,70511.44
2026-03-26,05:19:53,70530.59
2026-03-26,05:24:58,70578.01
2026-03-26,05:29:50,70536.98
2026-03-26,05:34:42,70540.69
2026-03-26,05:39:57,70545.71
2026-03-26,05:44:53,70416.17
2026-03-26,05:49:53,70306.05
2026-03-26,05:54:50,70108.88
2026-03-26,05:59:52,69976.52
2026-03-26,06:04:52,69914.54
2026-03-26,06:09:50,70018.15
2026-03-26,06:14:51,69983.80
2026-03-26,06:19:54,70054.59
2026-03-26,06:24:59,69969.36
2026-03-26,06:29:53,69987.28
2026-03-26,06:34:51,70027.64
2026-03-26,06:39:55,69990.90
2026-03-26,06:44:54,69987.72
2026-03-26,06:49:57,70027.03
2026-03-26,06:54:51,70067.95
2026-03-26,06:59:52,70065.40
2026-03-26,07:04:53,70094.26
2026-03-26,07:09:50,70014.46
2026-03-26,07:14:55,70023.45
2026-03-26,07:19:52,70002.40
2026-03-26,07:24:53,70041.65
2026-03-26,07:29:52,69940.59
2026-03-26,07:34:54,69884.29
2026-03-26,07:39:51,69993.00
2026-03-26,07:44:56,70024.25
2026-03-26,07:50:00,70051.10
2026-03-26,07:54:49,70098.76
2026-03-26,07:59:52,70060.47
2026-03-26,08:04:54,70053.63
2026-03-26,08:09:51,70059.73
2026-03-26,08:14:50,69894.88
2026-03-26,08:19:50,69888.00
2026-03-26,08:24:51,69816.44
2026-03-26,08:29:53,69814.51
2026-03-26,08:34:51,69834.27
2026-03-26,08:39:53,69832.77
2026-03-26,08:44:52,69858.64
2026-03-26,08:49:54,69934.07
2026-03-26,08:54:52,69908.21
2026-03-26,08:59:52,69983.71
2026-03-26,09:04:53,69924.36
2026-03-26,09:09:51,70073.89
